,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,tual,-5.6667,132.75,28.8,71,100,2.04,ID,1610598950
117,ilam,26.9167,87.9167,16.46,47,0,2.16,NP,1610598805
118,methoni,36.8197,21.7049,8.33,81,40,2.57,GR,1610598951
119,beruni,,,,,,,,
120,upernavik,72.7868,-56.1549,-11.56,96,100,6.36,GL,1610598952
121,isangel,-19.55,169.2667,28,89,75,3.6,VU,1610598952
122,half moon bay,37.4636,-122.4286,14.44,94,75,3.09,US,1610598952
123,aksu,41.1231,80.2644,-1.84,66,0,1.6,CN,1610598952
124,makakilo city,21.3469,-158.0858,26,65,90,2.57,US,1610598953
125,tumannyy,,,,,,,,
126,aykhal,66,111.5,-32.83,83,100,4.55,RU,1610598953
127,sabha,27.0377,14.4283,6.35,60,32,3.08,LY,1610598953
128,claveria,18.6074,121.0832,22.79,83,97,6.09,PH,1610598953
129,leningradskiy,69.3833,178.4167,-20.4,91,100,0.79,RU,1610598954
130,salalah,17.0151,54.0924,23,27,40,8.23,OM,1610598954
131,nador,35.174,-2.9287,6,87,0,1.03,MA,1610598954
132,nguiu,,,,,,,,
133,gold coast,-28,153.4333,29.44,54,0,6.69,AU,1610598726
134,ixtapa,20.7,-105.2,18.13,60,100,1.26,MX,1610598936
135,port alfred,-33.5906,26.891,22.55,90,100,8.67,ZA,1610598955
136,broken hill,-31.95,141.4333,29,21,0,6.69,AU,1610598955
137,luwuk,-0.9516,122.7875,30.24,70,80,0.44,ID,1610598955
138,tombouctou,20,-3,15.36,31,0,5.06,ML,1610598956
139,wahpeton,46.2652,-96.6059,2.78,87,40,4.12,US,1610598956
140,luena,-11.7833,19.9167,16.48,97,100,2.08,AO,1610598956
141,kjollefjord,70.9457,27.3465,-1,86,40,9.26,NO,1610598956
142,berdigestyakh,62.0989,126.6992,-38.58,81,77,1.63,RU,1610598957
143,tsihombe,,,,,,,,
144,vitim,59.4511,112.5578,-21.48,87,100,6.75,RU,1610598957
145,liaoyang,41.2719,123.1731,-5,50,57,4,CN,1610598735
146,whitehorse,60.7161,-135.0538,-5,68,20,5.66,CA,1610598957
147,natalinsk,56.4739,57.8698,-22.89,88,64,1.62,RU,1610598958
148,sokoto,13.0609,5.239,17.78,26,0,4.69,NG,1610598958
149,fare,-16.7,-151.0167,27.51,76,58,7.11,PF,1610598958
150,port hedland,-20.3167,118.5667,44,23,0,6.17,AU,1610598958
151,vardo,70.3705,31.1107,-13,85,75,5.66,NO,1610598959
152,grande-riviere,,,,,,,,
153,harper,4.375,-7.7169,25.21,83,45,2.03,LR,1610598959
154,behbahan,30.5959,50.2417,7,81,0,1.03,IR,1610598960
155,ahipara,-35.1667,173.1667,21.61,74,11,3.09,NZ,1610598960
156,morant bay,17.8815,-76.4093,26,78,20,3.09,JM,1610598960
157,yar-sale,66.8333,70.8333,-15.76,90,100,6.07,RU,1610598960
158,adrar,20.5022,-10.0711,14.04,31,24,6.23,MR,1610598961
159,darlowo,54.421,16.4107,0,10,39,4.83,PL,1610598961
160,grand river south east,,,,,,,,
161,esperance,-33.8667,121.9,21,43,99,8.75,AU,1610598961
162,saint-augustin,51.226,-58.6502,-6.77,93,71,2.72,CA,1610598962
163,sonoita,31.85,-112.8333,12.78,20,27,2.65,MX,1610598962
164,hibbing,47.4272,-92.9377,-7,93,1,1.54,US,1610598962
165,bredasdorp,-34.5322,20.0403,20,88,99,4.63,ZA,1610598962
166,saint george,37.1041,-113.5841,6,22,1,0.77,US,1610598923
167,pacific grove,36.6177,-121.9166,15,76,1,2.06,US,1610598963
168,agadez,19.75,10.25,12.57,38,0,3.87,NE,1610598963
169,kulhudhuffushi,6.6221,73.07,26.85,78,95,3.28,MV,1610598963
170,hailar,49.2,119.7,-24.15,84,0,2.24,CN,1610598902
171,tuatapere,-46.1333,167.6833,18.08,73,45,2.01,NZ,1610598964
172,antofagasta,-23.65,-70.4,18,77,75,2.06,CL,1610598964
173,giyon,8.5333,37.9833,15.3,49,92,2.78,ET,1610598964
174,naryan-mar,67.6713,53.087,-23.64,85,90,5.3,RU,1610598964
175,ginda,30.6945,78.4932,14.62,28,84,2.11,IN,1610598964
176,itarema,-2.9248,-39.9167,25.38,82,91,5.08,BR,1610598965
177,rabo de peixe,37.8,-25.5833,16.11,94,75,5.66,PT,1610598965
178,vestmannaeyjar,63.4427,-20.2734,6.58,74,76,6.32,IS,1610598965
179,zhangye,38.9342,100.4517,-3.16,74,51,3.55,CN,1610598759
180,ayan,56.45,138.1667,-21.82,80,92,1.29,RU,1610598966
181,severo-kurilsk,50.6789,156.125,-5.96,84,79,0.59,RU,1610598966
182,muskegon,43.3,-86.1334,3.33,93,90,5.14,US,1610598966
183,emerald,-23.5333,148.1667,34,27,40,6.17,AU,1610598966
184,ketchikan,55.3422,-131.6461,3,93,75,3.09,US,1610598966
185,khatanga,71.9667,102.5,-40.26,80,93,5.08,RU,1610598967
186,vra,57.3476,9.9515,-1.67,86,90,5.66,DK,1610598967
187,alofi,-19.0595,-169.9187,24,94,86,3.09,NU,1610598967
188,manggar,-2.8833,108.2667,26.43,85,100,4.25,ID,1610598850
189,bairiki,1.3292,172.9752,29,74,40,8.23,KI,1610598968
190,talaya,61.3833,152.75,-36.9,80,100,1.03,RU,1610598968
191,aklavik,68.2191,-135.0107,-26,76,90,2.24,CA,1610598968
192,ukiah,39.1502,-123.2078,13.33,94,90,0.65,US,1610598968
193,puerto rico,-26.796,-55.024,23.39,75,1,1.67,AR,1610598969
194,coahuayana,18.7333,-103.6833,23.54,50,98,1.59,MX,1610598969
195,smithers,54.7804,-127.1743,-5,86,75,1.54,CA,1610598969
196,los palmitos,9.379,-75.2677,24.22,69,41,0.95,CO,1610598969
197,phalaborwa,-23.943,31.1411,23,88,4,2.06,ZA,1610598970
198,bay roberts,47.5999,-53.2648,-1.11,89,18,1.74,CA,1610598970
199,oberstdorf,47.4,10.2833,1.67,92,100,0.45,DE,1610598970
200,rawson,-43.3002,-65.1023,19.25,59,91,11.67,AR,1610598970
201,valdivia,-39.8142,-73.2459,7,100,92,0.51,CL,1610598971
202,geraldton,-28.7667,114.6,38,22,16,5.66,AU,1610598717
203,verkhnyaya inta,65.9811,60.3094,-24.79,88,92,6.28,RU,1610598971
204,karauzyak,,,,,,,,
205,husavik,66.0449,-17.3389,3,81,90,2.06,IS,1610598971
206,tommot,58.9564,126.2925,-31.41,80,9,0.13,RU,1610598972
207,korla,41.7597,86.1469,-3.22,76,54,2.43,CN,1610598972
208,brejo,-3.6844,-42.7503,22.67,97,80,1.97,BR,1610598972
209,ibra,22.6906,58.5334,19.74,31,0,1.13,OM,1610598973
210,atlantic city,39.3643,-74.4229,5,93,1,3.96,US,1610598973
211,dingle,10.9995,122.6711,28.15,82,51,6.68,PH,1610598973
212,labuhan,-6.8844,112.2051,30.05,68,100,2.64,ID,1610598973
213,barbar,,,,,,,,
214,christchurch,-43.5333,172.6333,22,68,26,5.14,NZ,1610598795
215,touros,-5.1989,-35.4608,24,88,40,1.54,BR,1610598974
216,karratha,-20.7377,116.8463,41.81,19,25,5.44,AU,1610598974
217,waiouru,-39.4833,175.6667,19.92,69,65,2.01,NZ,1610598974
218,litovko,49.2361,135.1742,-15.29,87,100,2.6,RU,1610598975
219,chuchkovo,54.2693,41.4465,-6.97,97,100,8.66,RU,1610598975
220,kapit,2.0167,112.9333,30.21,60,99,1.94,MY,1610598975
221,mayo,38.8876,-76.5119,1.11,78,1,2.4,US,1610598975
222,vytegra,61.0064,36.4481,-27.02,88,92,3.28,RU,1610598975
223,santa cruz,-17.8,-63.1667,23,94,75,4.63,BO,1610598976
224,nishihara,26.1842,127.7558,20,45,75,2.57,JP,1610598947
225,moctezuma,29.8,-109.6667,11.94,31,0,1.24,MX,1610598976
226,vila franca do campo,37.7167,-25.4333,16.11,94,75,5.66,PT,1610598919
227,srednekolymsk,67.45,153.6833,-27.71,88,100,2.42,RU,1610598977
228,magole,-6.3667,37.3667,21,100,75,0.6,TZ,1610598977
229,linqiong,30.4159,103.4609,12.78,61,0,2,CN,1610598977
230,noumea,-22.2763,166.4572,26,94,90,8.23,NC,1610598603
231,fortuna,40.5982,-124.1573,13.33,100,90,1.48,US,1610598978
232,yulara,-25.2406,130.9889,40,11,0,3.6,AU,1610598978
233,murud,18.3258,72.965,29.87,42,28,1.3,IN,1610598978
234,hambantota,6.1241,81.1185,28,94,75,3.09,LK,1610598978
235,bogande,12.9714,-0.1436,18.82,24,0,3.56,BF,1610598978
236,amderma,,,,,,,,
237,wampusirpi,,,,,,,,
238,merauke,-8.4667,140.3333,30.24,69,60,4.84,ID,1610598979
239,port elizabeth,-33.918,25.5701,20,100,90,6.17,ZA,1610598843
240,san jose de guanipa,8.8872,-64.1651,22.73,75,92,5.42,VE,1610598980
241,ust-kuyga,70.0167,135.6,-40.53,78,37,0.16,RU,1610598980
242,antalaha,-14.9003,50.2788,28.68,71,60,0.45,MG,1610598980
243,goderich,43.7501,-81.7165,2,87,100,1.03,CA,1610598980
244,ambanja,-13.6833,48.45,28,78,40,2.06,MG,1610598981
245,bathsheba,13.2167,-59.5167,25,69,20,8.75,BB,1610598981
246,dolores,-36.3132,-57.6792,14.29,71,0,2.67,AR,1610598981
247,alexandria,31.2156,29.9553,15,77,40,4.12,EG,1610598981
248,saint-joseph,-21.3667,55.6167,29,70,0,1.54,RE,1610598981
249,fukue,32.6881,128.8419,14,62,40,1.54,JP,1610598795
250,newport,51.5877,-2.9984,10,95,100,0.89,GB,1610598974
251,rikitea,-23.1203,-134.9692,25.4,75,92,6.03,PF,1610598982
252,lagoa,39.05,-27.9833,16.34,89,50,6.11,PT,1610598942
253,zuenoula,7.4292,-6.0431,22.09,90,0,1.41,CI,1610598983
254,mehamn,71.0357,27.8492,-1,86,40,9.26,NO,1610598975
255,erdenet,49.0333,104.0833,-20.03,86,68,1.58,MN,1610598856
256,porto santo,33.072,-16.3415,14,67,20,4.63,PT,1610598983
257,constitucion,-35.3333,-72.4167,11.77,73,0,4.98,CL,1610598983
258,kunming,25.0389,102.7183,13.89,57,0,1,CN,1610598980
259,albany,42.6001,-73.9662,-0.56,71,100,1.39,US,1610598984
260,pendra,22.7667,81.95,19.77,24,0,2.34,IN,1610598984
261,jumla,29.2747,82.1838,16.42,20,0,1.99,NP,1610598804
262,carnarvon,-24.8667,113.6333,29,74,33,5.66,AU,1610598968
263,kutum,14.2,24.6667,10.56,44,0,2.31,SD,1610598985
264,eregli,37.5133,34.0467,4.4,74,100,1.21,TR,1610598985
265,georgetown,5.4112,100.3354,29,61,20,4.63,MY,1610598857
266,urumqi,43.801,87.6005,-8,67,87,1,CN,1610598985
267,quime,-16.9833,-67.2167,10.85,75,100,1.38,BO,1610598986
268,waingapu,-9.6567,120.2641,31.11,62,95,3.41,ID,1610598986
269,puro,12.4841,123.3827,26.97,83,100,4.35,PH,1610598986
270,northam,51.0333,-4.2167,10,99,100,5.36,GB,1610598986
271,soe,-9.8607,124.284,26.7,78,93,2.71,ID,1610598987
272,tiarei,-17.5333,-149.3333,30,62,20,1.54,PF,1610598987
273,lake cowichan,48.825,-124.0546,3.33,87,40,2.57,CA,1610598987
274,mendeleyevsk,55.9082,52.2905,-18,85,90,4,RU,1610598987
275,yining,29.0361,114.5636,18.64,28,6,0.72,CN,1610598988
276,coihaique,-45.5752,-72.0662,11,82,0,2.06,CL,1610598988
277,batouri,4.4333,14.3667,15.37,42,61,1.47,CM,1610598988
278,ugoofaaru,5.6667,73,27.02,73,71,2.13,MV,1610598988
279,busselton,-33.65,115.3333,27.93,25,94,5.6,AU,1610598989
280,hun,29.1268,15.9477,7.53,67,0,3.11,LY,1610598989
281,nizhneyansk,,,,,,,,
282,toma,12.7667,-2.8833,20.2,22,0,3.94,BF,1610598989
283,usinsk,65.9939,57.5281,-27.6,85,69,5.23,RU,1610598989
284,coos bay,43.3665,-124.2179,11,87,1,2.06,US,1610598990
285,aracruz,-19.8203,-40.2733,24,83,75,1.03,BR,1610598990
286,poso,-1.3959,120.7524,31,60,93,2.6,ID,1610598990
287,porbandar,21.6422,69.6093,18,63,40,3.09,IN,1610598756
288,bowling green,36.9903,-86.4436,3,70,1,1.54,US,1610598991
289,eyl,7.9803,49.8164,23.63,67,25,9.13,SO,1610598991
290,gonaives,19.45,-72.6833,22.18,81,9,2.19,HT,1610598991
291,hilo,19.7297,-155.09,24,73,1,2.06,US,1610598991
292,bitung,1.4451,125.1824,31,66,40,3.09,ID,1610598991
293,inhambane,-23.865,35.3833,25,100,20,2.76,MZ,1610598992
294,thinadhoo,0.5333,72.9333,27.97,75,24,8.75,MV,1610598992
295,erdemli,36.605,34.3084,12.32,69,100,0.57,TR,1610598992
296,saint anthony,45.0205,-93.218,2,80,1,2.57,US,1610598992
297,ocos,14.5094,-92.1933,17.78,96,0,1.87,GT,1610598993
298,chagda,,,,,,,,
299,samarai,-10.6167,150.6667,29.18,73,100,1.72,PG,1610598993
300,novita,4.9551,-76.6053,23.25,91,100,0.76,CO,1610598993
301,orumiyeh,37.5527,45.0761,1,80,75,1.03,IR,1610598994
302,bintulu,3.1667,113.0333,28,83,40,2.57,MY,1610598850
303,jasper,37.2001,-94.3502,8,49,1,7.2,US,1610598994
304,qui nhon,13.7667,109.2333,21.07,77,94,5.22,VN,1610598788
305,la ronge,55.1001,-105.2842,0,86,100,5.66,CA,1610598994
306,nemuro,43.3236,145.575,1,75,40,6.17,JP,1610598995
307,deputatskiy,69.3,139.9,-36.4,83,95,0.41,RU,1610598995
308,villamontes,-21.25,-63.5,21.02,83,96,1.56,BO,1610598995
309,norman wells,65.282,-126.8329,-17,85,90,3.09,CA,1610598995
310,makinsk,52.6292,70.4169,-23.83,83,0,1.22,KZ,1610598996
311,kampot,10.6167,104.1833,28,42,0,4.12,KH,1610598996
312,balkhash,46.844,74.9804,-23,70,0,6,KZ,1610598996
313,port hardy,50.6996,-127.4199,7,93,90,1.54,CA,1610598714
314,attawapiskat,,,,,,,,
315,yumen,40.2833,97.2,-2.24,67,96,8.39,CN,1610598997
316,mazagao,-0.115,-51.2894,26,94,0,2.06,BR,1610598997
317,sulangan,11.1373,123.7228,27.16,84,22,5.42,PH,1610598997
318,kokopo,-4.352,152.2633,29.98,61,85,2.7,PG,1610598997
319,pevek,69.7008,170.3133,-26.61,89,100,0.6,RU,1610598998
320,havelock,34.8791,-76.9013,9,81,20,2.06,US,1610598998
321,nanding,36.7483,118.0558,10.45,43,0,2.32,CN,1610598998
322,palanpur,24.1667,72.4333,24.4,19,8,2.23,IN,1610598998
323,lata,40.1629,-8.3327,7.22,92,1,0.89,PT,1610598998
324,aripuana,-9.1667,-60.6333,22.97,99,100,0.61,BR,1610598999
325,vaini,-21.2,-175.2,29,89,75,3.6,TO,1610598801
326,hami,42.8,93.45,-5.02,80,69,2.11,CN,1610598999
327,buluang,13.3068,123.3425,26.07,87,100,3,PH,1610598999
328,provideniya,64.3833,-173.3,-16,72,75,3,RU,1610599000
329,vagur,61.4732,-6.8119,4.99,79,100,10.53,FO,1610599000
330,bambous virieux,-20.3428,57.7575,27.78,78,40,5.14,MU,1610599000
331,hede,33.7681,120.2517,13.99,40,0,3.49,CN,1610599000
332,bogorodskoye,56.55,37.8833,-17.4,93,100,6.25,RU,1610599001
333,nadym,65.5333,72.5167,-18.87,86,88,7.88,RU,1610599001
334,taltal,-25.4,-70.4833,17.02,76,47,0.69,CL,1610599001
335,sheltozero,61.3667,35.3667,-18.42,94,100,4.42,RU,1610599001
336,aksarka,66.5606,67.7975,-19.88,87,100,5.33,RU,1610599001
337,iquique,-20.2208,-70.1431,22,60,90,4.63,CL,1610598991
338,luanda,-8.8368,13.2343,24,88,40,1.54,AO,1610599002
339,ballina,-28.8667,153.5667,29,61,0,5.66,AU,1610599002
340,llaillay,-32.85,-70.9667,18,24,20,3.09,CL,1610599002
341,kiunga,-6.1219,141.2906,35.6,45,84,0.55,PG,1610599003
342,myre,69.1036,15.9492,0,100,40,3.6,NO,1610599003
343,cidreira,-30.1811,-50.2056,21.37,71,28,6.64,BR,1610598951
344,souillac,-20.5167,57.5167,27,78,40,5.14,MU,1610598922
345,samalaeulu,,,,,,,,
346,yongan,39.6957,113.6871,2.09,61,100,2.16,CN,1610599004
347,hanna,51.6334,-111.9018,-1.11,60,64,7.6,CA,1610599004
348,bengkulu,-3.8004,102.2655,29.14,61,100,2.27,ID,1610598935
349,genhe,50.7833,121.5167,-23.55,82,70,1.46,CN,1610599004
350,viligili,,,,,,,,
351,bilma,18.6853,12.9164,15.2,48,62,5.98,NE,1610599005
352,tomatlan,19.9333,-105.25,18.39,66,100,1.48,MX,1610599005
353,columbus,39.9612,-82.9988,4,65,90,2.57,US,1610599005
354,mogapi,-22.323,27.8349,21,94,0,2.06,BW,1610599006
355,san cristobal,7.7669,-72.225,16.7,85,97,1.08,VE,1610599006
356,mount isa,-20.7333,139.5,37,22,2,5.66,AU,1610599006
357,el retorno,2.3302,-72.6276,22.33,86,74,1.03,CO,1610599006
358,yerbogachen,61.2767,108.0108,-24.66,88,100,4.95,RU,1610599006
359,laguna,38.421,-121.4238,13.33,76,1,3.6,US,1610598742
360,prince george,53.9166,-122.753,0,64,1,4.63,CA,1610599007
361,remetea,46.7833,25.45,-5.56,82,92,2.47,RO,1610599007
362,byron bay,-28.65,153.6167,28.33,61,0,5.66,AU,1610599007
363,tahta,26.7693,31.5021,14,47,0,3.6,EG,1610599008
364,marfino,55.7028,37.3822,-12.78,78,90,7,RU,1610599008
365,shubarshi,48.5872,57.1869,-15.68,89,97,9.33,KZ,1610599008
366,ruatoria,,,,,,,,
367,foz,43.5692,-7.2544,0,100,17,0.45,ES,1610599009
368,saskylakh,71.9167,114.0833,-43.76,75,64,3.85,RU,1610599009
369,raga,8.4596,25.678,16.62,31,39,1.25,SS,1610599009
370,luderitz,-26.6481,15.1594,18.6,84,95,1.58,NA,1610598940
371,kirkland lake,48.1446,-80.0377,-2,93,34,1.8,CA,1610599009
372,yatou,37.15,122.3833,5.17,69,0,7.49,CN,1610598998
373,severo-yeniseyskiy,60.3725,93.0408,-25.14,89,100,5.99,RU,1610599010
374,rawannawi,,,,,,,,
375,ouro preto do oeste,-10.7481,-62.2158,23.16,95,100,0.28,BR,1610599010
376,sitka,57.0531,-135.33,3,87,90,2.57,US,1610599011
377,lamar,33.6668,-95.5836,7.22,70,1,4.12,US,1610599011
378,loreto,22.2667,-101.9667,9.52,48,97,0.85,MX,1610599011
379,port lincoln,-34.7333,135.8667,18.22,51,16,7.47,AU,1610599011
380,kavaratti,10.5669,72.642,26.67,73,100,2.2,IN,1610598951
381,necochea,-38.5473,-58.7368,13.33,84,5,5.85,AR,1610599012
382,camopi,3.1655,-52.3158,21.41,98,66,0.83,GF,1610599012
383,maiduguri,11.8464,13.1603,14.59,36,0,2.3,NG,1610599012
384,kamenskoye,,,,,,,,
385,gushikawa,26.3544,127.8686,20,49,90,5.66,JP,1610599013
386,tygda,53.1167,126.3333,-23.93,85,11,1.89,RU,1610599013
387,manta,-0.95,-80.7333,26,78,75,2.57,EC,1610599013
388,codrington,-38.2667,141.9667,15.83,74,96,7.25,AU,1610598927
389,manicore,-5.8092,-61.3003,26,94,20,2.06,BR,1610599014
390,lebu,-37.6167,-73.65,12.14,88,1,6.98,CL,1610598965
391,den helder,52.9599,4.7593,2.22,87,90,2.57,NL,1610599014
392,maua,-23.6678,-46.4614,22,83,90,3.09,BR,1610599014
393,hastings,50.8552,0.5729,7.78,91,100,0.45,GB,1610599014
394,lima,-12.0432,-77.0282,21,83,0,5.14,PE,1610599015
